row_id,source,cloverItemId,siteId,name,cloverCategory,siteCategory,queueStatus,recordType,confidence,suggestedCloverCategory,suggestedSiteCategory,priceCAD,stockQty,published,hasImage,hasDescription,brand,cleanNameFr,recommendedAction,reason,notes
58,site_product_clover,A6T4KTGKXH5CP,cbe866f9-9afe-4621-bd04-664b5f4ef4d2,PT2813 Bol Nourriture  Exo Grand,,terrarium,created,product,high,Habitat,terrarium,26.49,0,no,no,no,Exo Terra,Bol Nourriture  Exo Grand,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
59,site_product_clover,NQD1DXGE298GJ,3a32e45c-9b10-4068-be7d-a23842a59cb4,PT2816 Distributeur Vers Farine Exo,,terrarium,created,product,high,Habitat,terrarium,17.99,0,no,no,no,Exo Terra,Distributeur Vers Farine Exo,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
60,site_product_clover,59D1TWM4BBXG4,c9e59836-cd4f-4870-a833-ff5b082a5974,PT2821 Exo Terra Distributeur de Grillons-V,,terrarium,created,product,high,Habitat,terrarium,18.99,0,no,no,no,Exo Terra,Exo Terra Distributeur de Grillons-V,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
61,site_product_clover,70HSEJNJT0Y76,a50a7070-0295-45b5-b3f3-c0d6050774fd,PT2827 Bol Eau de Coin Exo medium,,terrarium,created,product,high,Habitat,terrarium,24.99,0,no,no,no,Exo Terra,Bol Eau de Coin Exo medium,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
62,site_product_clover,1XRSB2G7SX3W2,f6228426-3dd3-4d64-a22e-02eeff324ae1,PT2828 Bol Eau en Coin Exo Terra Grand,,terrarium,created,product,high,Habitat,terrarium,38.49,0,no,no,no,Exo Terra,Bol Eau en Coin Exo Terra Grand,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
63,site_product_clover,8W2YZYJ804CHE,88969cca-d608-4a24-8554-ac5d061205ee,PT2829 Bol Eau en Coin Exo Terra Très Grand,,terrarium,created,product,high,Habitat,terrarium,44.99,0,no,no,no,Exo Terra,Bol Eau en Coin Exo Terra Très Grand,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
64,site_product_clover,MBRBSSGW6ZQKG,1adf4d95-505c-4f2a-9c07-a3fbdd5e6b91,PT2841 Exo Terra Oeufs Dinosaure,,terrarium,created,product,high,Habitat,terrarium,29.99,0,no,no,no,Exo Terra,Exo Terra Oeufs Dinosaure,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
65,site_product_clover,3A0XHNDH35ZYJ,60b7b36d-cb77-44ef-a5fb-11a9e50d809c,PT2852 Grotte Moyenne Exo Terra,,terrarium,created,product,high,Habitat,terrarium,12.99,0,no,no,no,Exo Terra,Grotte Moyenne Exo Terra,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
66,site_product_clover,V1ETM4Q4SH48A,25cf1941-00a5-4f9d-ab6b-eade5e775010,PT2855 Crâne de Primate Exo Terra,,terrarium,created,product,high,Habitat,terrarium,29.99,0,no,no,no,Exo Terra,Crâne de Primate Exo Terra,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
67,site_product_clover,97CMAE475EC6J,118f5a75-5af9-479d-8387-f26106e67976,PT2856 Crâne de Crocodile Exo Terra,,terrarium,created,product,high,Habitat,terrarium,27.99,0,no,no,no,Exo Terra,Crâne de Crocodile Exo Terra,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
68,site_product_clover,Y9ZW8586S9W5A,b0537e18-d51c-4d3a-8485-313521ae29aa,PT2857 Crâne de Bison Exo Terra,,terrarium,created,product,high,Habitat,terrarium,31.99,0,no,no,no,Exo Terra,Crâne de Bison Exo Terra,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
69,site_product_clover,9ERAN85ZSHKM8,9031ac2d-fdf2-4d92-8995-fd1e5de08b7c,PT2876 Exo Terra Coconut Cave,,terrarium,created,product,high,Habitat,terrarium,23.99,0,no,no,no,Exo Terra,Exo Terra Coconut Cave,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
70,site_product_clover,PD9TKSJKC0R2G,b75a2054-ee17-452a-8f59-b99dccaf95c3,PT2910,,terrarium,created,product,high,Habitat,terrarium,67.99,0,no,no,no,Exo Terra,PT2910,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
71,site_product_clover,RJDDKK0BM3KV0,698a1fe0-2680-4fdd-ab83-dfbb76863b0a,PT2912,,terrarium,created,product,high,Habitat,terrarium,77.99,0,no,no,no,Exo Terra,PT2912,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
72,site_product_clover,V66QQ8H2GWKXW,a376aa83-d922-4501-b80a-d7810dbf0acf,PT2914 Cascade Exo Terra Pour Reptiles Large,,terrarium,created,product,high,Habitat,terrarium,94.99,0,no,no,no,Exo Terra,Cascade Exo Terra Pour Reptiles Large,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
73,site_product_clover,Z12618SFAXVFG,7bd1ac6d-cf18-4988-bc65-b000987bdc67,PT2922 Grotte pour Tortues Terrestres Exo Terra,,terrarium,created,product,high,Habitat,terrarium,79.99,0,no,no,no,Exo Terra,Grotte pour Tortues Terrestres Exo Terra,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
74,site_product_clover,KAJ84RFX19Y7T,aebabb48-d2ae-4902-9920-2dfddbe3fec8,PT2930 Grotte Exo terra petite,,terrarium,created,product,high,Habitat,terrarium,10.99,0,no,no,no,Exo Terra,Grotte Exo terra petite,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
75,site_product_clover,CPBR8Z58DNXTT,53739c02-45cb-443d-a39b-5d7edf557bf9,PT2931 Grotte Exo Terra Moyenne,,terrarium,created,product,high,Habitat,terrarium,16.99,0,no,no,no,Exo Terra,Grotte Exo Terra Moyenne,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
76,site_product_clover,17WJG0DH7K25J,93fcf105-ae1a-4c7e-abf2-5a3929353555,PT2932 Grotte Exo Terra Grande,,terrarium,created,product,high,Habitat,terrarium,24.49,0,no,no,no,Exo Terra,Grotte Exo Terra Grande,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
77,site_product_clover,BRP7G81V0WX8T,41ceb833-dbc0-4d90-a5c7-cf55e8a86819,PT2933 Grotte Exo Terra Tres Grande,,terrarium,created,product,high,Habitat,terrarium,35.99,0,no,no,no,Exo Terra,Grotte Exo Terra Tres Grande,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
78,site_product_clover,H5XMSWXMR0NYP,95ae52e6-888d-4ab4-97be-40f951015dbe,PT2934 Grotte Exo Terra TTGrande,,terrarium,created,product,high,Habitat,terrarium,59.99,0,no,no,no,Exo Terra,Grotte Exo Terra TTGrande,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
